,Date,Time,MJD,x_cen,x_off,x/R
0,10/20/2014,10:58:15 PM,56950.95712,3202,1165,0.644
1,10/21/2014,10:58:15 PM,56951.95712,2843,805,0.445
2,10/22/2014,10:46:15 PM,56952.94878,2442,404,0.224
3,10/23/2014,10:58:15 PM,56953.95712,2019,19,0.01
4,10/24/2014,10:58:15 PM,56954.95712,1596,-442,-0.244
5,10/25/2014,10:58:15 PM,56955.95711,1202,-835,-0.462
6,10/26/2014,7:58:14 PM,56956.83211,895,-1142,-0.631
7,10/27/2014,7:58:14 PM,56957.83211,596,-1442,-0.797
8,10/28/2014,7:58:14 PM,56958.83211,375,-1663,-0.919
9,10/29/2014,7:58:14 PM,56959.83211,240,-1798,-0.994
